DataSet,Subject,Group,Condition,Template,SortInfo,ExpVar_1,ExpVar_2,ExpVar_3,ExpVarTotal,TotalTime,SpatialCorrelation_1,SpatialCorrelation_2,SpatialCorrelation_3,Duration_1,Duration_2,Duration_3,MeanDuration,Occurrence_1,Occurrence_2,Occurrence_3,MeanOccurrence,Contribution_1,Contribution_2,Contribution_3,MeanGFP_1,MeanGFP_2,MeanGFP_3,OrgTM_1->1,OrgTM_1->2,OrgTM_1->3,OrgTM_2->1,OrgTM_2->2,OrgTM_2->3,OrgTM_3->1,OrgTM_3->2,OrgTM_3->3,ExpTM_1->1,ExpTM_1->2,ExpTM_1->3,ExpTM_2->1,ExpTM_2->2,ExpTM_2->3,ExpTM_3->1,ExpTM_3->2,ExpTM_3->3,DeltaTM_1->1,DeltaTM_1->2,DeltaTM_1->3,DeltaTM_2->1,DeltaTM_2->2,DeltaTM_2->3,DeltaTM_3->1,DeltaTM_3->2,DeltaTM_3->3
02_S020_02mo_20161222_025626_copy_AO_markers_completed_fil_seg_bcr_ref_rej.set,,,,<<own>>,,0.4203457,0.03706691,0.1872024,0.6655075,4.34E+01,7.17E-01,9.21E-01,8.26E-01,1.19E-01,1.13E-01,1.24E-01,1.23E-01,2.91E+00,3.04E+00,2.99E+00,8.94E+00,3.32E-01,3.23E-01,3.45E-01,5.06E+00,5.00E+00,5.18E+00,,1.55E-01,1.61E-01,1.80E-01,,1.58E-01,1.67E-01,1.80E-01,,,1.56E-01,1.69E-01,1.57E-01,,1.77E-01,1.67E-01,1.73E-01,,,-7.95E-04,-8.20E-03,2.23E-02,,-1.95E-02,5.52E-05,6.13E-03,
,,,,,,,Sum of Exp Vars 1-3,0.64461501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
